Name,Inns_test,NO_test,Runs_test,Ave_test,Inns_FC,NO_FC,Runs_FC,Ave_FC,Inns_LA,NO_LA,Runs_LA,Ave_LA,Ave_FC_no_test
Paul Collingwood,115.0,10.0,4259.0,40.56,527,52,16938,35.65,401,73,11240,34.26,34.27
Geraint Jones,53.0,4.0,1172.0,23.91,309,29,9087,32.45,176,33,3679,25.72,34.26
Andrew Strauss,178.0,6.0,7037.0,40.91,424,25,17046,42.72,247,14,7631,32.75,44.09
Ian Bell,205.0,24.0,7727.0,42.69,524,55,20440,43.58,301,31,11130,41.22,44.14
Kevin Pietersen,181.0,8.0,8181.0,47.28,358,26,16522,49.76,233,34,8112,40.76,52.46
Alastair Cook,291.0,16.0,12472.0,45.35,619,45,26643,46.41,176,13,6510,39.93,47.39
Matt Prior,123.0,21.0,4099.0,40.18,381,44,13228,39.25,204,18,5072,27.26,38.85
Ravi Bopara,19.0,1.0,575.0,31.94,357,40,12821,40.44,301,56,9845,40.18,40.96
Stuart Broad,244.0,41.0,3662.0,18.03,372,66,5840,19.08,80,28,620,11.92,21.15
Graeme Swann,76.0,14.0,1370.0,22.09,343,37,7811,25.52,197,29,3179,18.92,26.4
Tim Bresnan,26.0,4.0,575.0,26.13,294,45,7128,28.62,205,55,3240,21.6,28.87
Jonathan Trott,93.0,6.0,3835.0,44.08,468,47,18662,44.32,253,44,10056,48.11,44.39
Eoin Morgan,24.0,1.0,700.0,30.43,169,18,5042,33.39,348,49,11559,38.65,33.92
Jonny Bairstow,178.0,12.0,6042.0,36.39,361,39,13773,42.77,160,14,5790,39.65,49.56
Nick Compton,30.0,3.0,775.0,28.7,338,37,12168,40.42,110,20,3174,35.26,41.58
Joe Root,257.0,21.0,11736.0,49.72,365,32,16349,49.09,197,29,7735,46.04,47.56
Chris Woakes,79.0,15.0,1754.0,27.4,249,53,6422,32.76,141,40,2265,22.42,35.36
Ben Stokes,185.0,7.0,6316.0,35.48,311,15,10393,35.11,162,24,5303,38.42,34.55
Gary Ballance,44.0,3.0,1653.0,40.31,278,26,12031,47.74,115,16,4697,47.44,49.18
Moeen Ali,118.0,8.0,3094.0,28.12,346,27,11514,36.09,223,17,5650,27.42,40.29
Jos Buttler,100.0,9.0,2907.0,31.94,199,16,5888,32.17,213,47,7187,43.29,32.4
Adil Rashid,33.0,5.0,540.0,19.28,251,41,6822,32.48,150,47,1943,18.86,34.52
Alex Hales,21.0,0.0,573.0,27.28,182,6,6655,37.81,169,6,6260,38.4,39.24
James Vince,22.0,0.0,548.0,24.9,337,25,12354,39.59,138,7,5199,39.68,40.71
Ben Duckett,38.0,2.0,1464.0,40.66,239,12,9612,42.34,77,8,2657,38.5,42.66
Keaton Jennings,32.0,1.0,781.0,25.19,294,19,10415,37.87,89,17,3163,43.93,39.48
Dawid Malan,39.0,0.0,1074.0,27.53,363,21,13201,38.59,174,25,6561,44.03,40.02
Mark Stoneman,20.0,1.0,526.0,27.68,413,12,13750,34.28,101,7,3543,37.69,34.62
Sam Curran,38.0,5.0,815.0,24.69,122,14,3250,30.09,56,8,1048,21.83,32.47
Ollie Pope,77.0,5.0,2451.0,34.04,153,16,6718,49.03,28,5,767,33.34,65.65
Rory Burns,59.0,0.0,1789.0,30.32,327,21,12264,40.07,61,6,1829,33.25,42.41
Ben Foakes,46.0,7.0,1139.0,29.2,255,41,8245,38.52,67,11,2147,38.33,40.61
Joe Denly,28.0,0.0,827.0,29.53,406,26,13537,35.62,159,16,5220,36.5,36.11
Dom Sibley,39.0,3.0,1042.0,28.94,220,25,7580,38.87,34,3,865,27.9,41.12
Zak Crawley,82.0,2.0,2611.0,32.63,198,5,6321,32.75,30,2,942,33.64,32.83
Dan Lawrence,21.0,2.0,551.0,29.0,191,16,6360,36.34,25,0,670,26.8,37.24
Harry Brook,20.0,1.0,1181.0,62.15,110,6,4248,40.84,27,2,750,30.0,36.08
